,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Team,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,GameType
18,18,18,18,18,Denver Nuggets,Utah Jazz,L,10/18/2017,240,36,77,0.468,13,27,0.481,11,12,0.917,7,31,38,21,4,3,20,18,96,-10,regular season
19,19,19,19,19,Utah Jazz,Denver Nuggets,W,10/18/2017,240,41,81,0.506,9,24,0.375,15,16,0.938,6,30,36,28,9,5,15,18,106,10,regular season
20,20,20,20,20,Minnesota Timberwolves,San Antonio Spurs,L,10/18/2017,240,37,85,0.435,8,19,0.421,17,23,0.7390000000000001,11,31,42,23,7,4,13,16,99,-8,regular season
21,21,21,21,21,San Antonio Spurs,Minnesota Timberwolves,W,10/18/2017,240,41,89,0.461,8,21,0.381,17,19,0.895,12,38,50,22,8,11,11,18,107,8,regular season
22,22,22,22,22,Portland Trail Blazers,Phoenix Suns,W,10/18/2017,240,44,90,0.489,14,24,0.583,22,28,0.7859999999999999,15,42,57,22,8,7,16,20,124,48,regular season
23,23,23,23,23,Phoenix Suns,Portland Trail Blazers,L,10/18/2017,240,28,89,0.315,7,27,0.259,13,18,0.722,10,23,33,10,9,8,16,22,76,-48,regular season
24,24,24,24,24,Houston Rockets,Sacramento Kings,W,10/18/2017,240,33,83,0.398,12,45,0.267,27,29,0.931,12,32,44,19,7,3,14,14,105,5,regular season
25,25,25,25,25,Sacramento Kings,Houston Rockets,L,10/18/2017,240,42,88,0.477,8,23,0.348,8,10,0.8,9,33,42,19,5,4,17,20,100,-5,regular season
26,26,26,26,26,Chicago Bulls,Toronto Raptors,L,10/19/2017,240,37,89,0.416,10,32,0.313,16,18,0.889,10,29,39,22,7,2,19,23,100,-17,regular season
27,27,27,27,27,Toronto Raptors,Chicago Bulls,W,10/19/2017,240,39,83,0.47,13,29,0.448,26,28,0.929,13,36,49,26,10,4,17,19,117,17,regular season
28,28,28,28,28,New York Knicks,Oklahoma City Thunder,L,10/19/2017,240,32,79,0.405,7,24,0.292,13,19,0.684,11,30,41,19,8,4,25,23,84,-21,regular season
29,29,29,29,29,Oklahoma City Thunder,New York Knicks,W,10/19/2017,240,39,90,0.433,11,38,0.289,16,22,0.727,13,28,41,26,14,7,18,22,105,21,regular season
30,30,30,30,30,Los Angeles Clippers,Los Angeles Lakers,W,10/19/2017,240,42,107,0.393,12,33,0.364,12,13,0.923,17,42,59,23,12,3,14,20,108,16,regular season
